AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,0,0.9349594,3.955093,11,2.682927,0,107.087,3.2,1
0,1,0.9189189,5.175222,11,2.972973,0,105.7895,18,0
0,2,0.7878788,4.993525,9,2.727273,0,102.5908,6,0
0,3,0.8820755,4.4178,8,2.264151,0,93.72552,12.5,1
0,4,0.9757282,5.06697,6,1.747573,0,107.2234,2.5,0
0,5,0.7887324,6.188183,8,2.253521,0,95.56156,9,0
0,6,0.7416268,4.76691,6,1.722488,0,107.7791,7.714286,0
0,7,0.7142857,7.5782,10,2.857143,0,107.0516,10,0
0,8,0.7655503,7.137714,4,1.148325,0,102.0554,16.33333,0
0,9,0.9112149,4.919975,7,1.962617,0,91.90836,6.333333,0
0,10,0.7028302,7.836085,6,1.698113,0,120.7588,10.5,0
0,11,0.8076923,7.414528,12,3.461539,0,98.81696,4.8,1
0,12,0.7358491,6.830249,4,1.132075,0,116.5766,14,0
0,13,0.9668247,5.426604,5,1.421801,0,106.1355,3.5,1
0,14,0.8930233,6.647396,8,2.232558,0,104.249,3.285714,0
0,15,0.5700935,7.581994,6,1.682243,0,100.6247,18.4,0
0,16,0.587963,5.663218,6,1.666667,0,106.7859,11.125,1
0,17,0.8952381,8.08757,10,2.857143,0,105.2181,7.333333,1
0,18,0.7393365,8.764556,9,2.559242,0,94.30768,7.2,0
0,19,0.8672986,5.850214,10,2.843602,0,96.09441,2.888889,0
0,20,0.9182692,5.788161,6,1.730769,0,97.90767,2.428571,0
0,21,0.6052632,6.784897,5,1.315789,0,105.0881,14.75,0
0,22,0.8341232,6.913319,4,1.137441,0,116.2714,8.75,0
0,23,0.8537736,9.262788,4,1.132075,0,117.4797,6.2,1
0,24,0.9428571,4.477329,6,1.714286,0,99.45243,3,0
0,25,0.3954546,12.72023,23,6.272727,0,91.14059,26.6,1
0,26,0.7464789,7.932464,5,1.408451,0,125.0611,7.714286,0
0,27,0.9473684,4.668202,7,2.009569,0,99.61223,1.833333,0
0,28,0.9052133,3.671211,8,2.274882,0,92.45811,2.8,0
0,29,0.9516908,4.021319,7,2.028986,0,97.44648,2.5,0
0,30,0.6650718,6.922605,6,1.722488,0,113.1262,10.5,0
0,31,0.8084112,5.516137,16,4.485981,0,86.69699,8.2,1
0,32,0.6425532,7.616129,5,1.276596,0,118.1686,14,0
0,33,0.8174905,6.252613,9,2.053232,0,111.6578,8,0
0,34,0.9851301,4.068839,7,1.561338,0,98.49137,2,0
0,35,0.4887218,7.826098,6,1.353383,0,116.4084,22.66667,0
0,36,0.82,8.582958,9,2.16,0,102.2798,15,0
0,37,0.972093,3.963548,10,2.790698,0,98.90092,1.5,0
0,38,0.4642857,7.114904,6,2.142857,0,113.2501,14.83333,0
0,39,0.5586592,5.883848,5,1.675978,0,107.9454,13.16667,0
0,40,0.4455959,8.321531,6,1.865285,0,106.5485,13.375,0
0,41,0.4624277,8.158381,5,1.734104,0,117.3607,20,0
0,42,0.6628571,6.719612,7,2.4,0,118.2472,9.833333,0
0,43,0.9314286,5.00912,15,5.142857,0,103.996,2.4,1
0,44,0.7192982,5.899414,6,2.105263,0,106.2104,8,1
0,45,0.7471265,4.282432,7,2.413793,0,95.32848,6.285714,0
0,46,0.7540984,5.04866,7,2.295082,0,106.5574,5.625,0
0,47,0.4413408,9.920018,6,2.011173,0,114.6931,11.25,1
0,48,0.7486631,5.850784,8,2.566845,0,106.3057,5.222222,0
0,49,0.7673267,6.59507,5,1.485149,0,106.1021,9.4,0
0,50,0.9224806,7.39539,4,0.9302326,0,111.0465,5,0
0,51,0.7946768,7.599732,5,1.140684,0,111.7148,9.6,0
0,52,0.9034749,5.540863,6,1.389961,0,115.3978,5,0
0,53,0.9038461,6.010653,4,0.9230769,0,112.442,5,0
0,54,0.8098859,5.162915,7,1.596958,0,105.6451,6.25,0
0,55,0.9882813,4.141595,8,1.875,0,97.98374,3,1
0,56,0.9027237,5.316296,6,1.400778,0,110.3409,8.333333,0
0,57,0.4648438,7.487506,6,1.40625,0,110.4404,22.83333,0
