AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,0,0.8252032,4.621806,9,2.195122,0,100.2293,10.25,0
0,1,0.8108108,3.965894,7,1.891892,0,97.84567,5.25,0
0,2,0.9191919,5.059323,4,1.212121,0,100.2633,4,0
0,3,1,10.86258,1,0.2830189,0,86.38367,0,0
0,4,0.9223301,6.448133,8,2.330097,0,116.1804,3.2,0
0,5,0.5774648,12.63876,7,1.971831,0,112.013,15,0
0,6,0.8564593,5.815843,9,2.583732,0,90.18056,4.285714,0
0,7,0.9,5.224453,6,1.714286,0,102.1576,3,0
0,8,0.8373206,5.399422,5,1.435407,0,108.8873,11.33333,0
0,9,0.4859813,10.83378,4,1.121495,0,112.8985,18.33333,0
0,10,0.9198113,5.275467,6,1.698113,0,117.4988,4.25,0
0,11,0.8942308,3.400623,10,2.884615,0,96.8475,2.75,0
0,12,0.5141509,12.81929,4,1.132075,0,134.8166,17.66667,0
0,13,0.9668247,5.13148,7,1.990521,0,96.37666,2.333333,0
0,14,0.516279,17.08098,5,1.395349,19,145.3728,46,0
0,15,0.9766355,5.446692,11,3.084112,0,103.93,2.5,0
0,16,0.9490741,6.053817,7,1.944444,0,95.77215,1.333333,0
0,17,0.7190476,9.100562,3,0.8571429,0,126.7766,29.5,0
0,18,0.985782,5.868446,4,1.137441,0,110.2604,1.5,0
0,19,0.6540284,11.16784,5,1.421801,0,133.2982,14.6,0
0,20,0.7259616,7.17587,5,1.442308,0,121.6038,14.25,0
0,21,0.9649123,5.940274,8,2.105263,0,96.91839,2,0
0,22,0.6208531,9.169991,16,4.549763,0,101.229,11.42857,0
0,23,0.9764151,4.554424,7,1.981132,0,106.4405,1.666667,0
0,24,0.5142857,8.045157,6,1.714286,0,116.6622,12.5,0
0,25,0.8136364,9.926269,9,2.454545,0,90.3542,8,0
0,26,0.915493,5.137454,6,1.690141,0,94.5628,9,0
0,27,0.7655503,7.703198,4,1.148325,0,125.2174,12.25,0
0,28,0.8957346,5.66991,9,2.559242,0,95.94697,7.333333,0
0,29,0.7874396,7.046895,8,2.318841,0,111.9159,5.5,0
