AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,0,0.9444444,5.646242,1,3.333333,0,94.06747,1,0
0,1,0.8181818,6.291279,2,10.90909,0,100.1321,2,0
0,2,0.9230769,4.027272,1,4.615385,0,99.64205,1,0
0,3,0.9090909,5.512181,1,5.454545,0,100.1528,1,0
0,4,0.9166667,5.177865,1,5,0,100.5894,1,0
0,5,0.7777778,8.067464,2,13.33333,0,99.92612,2,1
0,6,0.7777778,8.430073,1,3.333333,0,106.328,4,0
0,7,0.9333333,1.958008,1,4,0,96.84162,1,0
0,8,0.9285714,2.383023,1,4.285714,0,97.62654,1,0
0,9,0.9285714,7.844523,1,4.285714,0,103.9625,1,0
0,10,0.5,10.77379,2,12,0,105.2121,1,0
0,11,0.9166667,7.382401,1,5,0,102.8867,1,0
0,12,0.9333333,6.599006,1,4,0,91.70411,1,0
0,13,0.875,6.277154,2,7.5,0,92.63246,2,1
0,14,0.9375,3.110124,1,3.75,0,99.8596,1,0
0,15,0.875,3.760146,2,7.5,0,97.18933,2,1
0,16,0.5,10.28388,2,10,0,107.103,3,0
0,17,0.3846154,11.51497,2,9.230769,0,108.363,1,0
0,18,0.6666667,10.65517,2,10,0,105.2788,2,1
0,19,0.9,4.29002,2,6,0,94.53194,2,0
0,20,0.5,10.98288,2,10,0,106.289,1,0
0,21,0.9333333,6.941704,2,8,0,102.3175,1,0
0,22,0.7857143,7.516242,2,8.571428,0,97.8337,1.5,0
0,23,0.8181818,4.587889,2,10.90909,0,96.55304,1,0
0,24,0.8235294,11.13312,2,7.058824,0,88.91351,3,1
0,25,0.75,10.10282,2,10,0,103.5006,1.5,0
0,26,0.8,10.29704,1,6,0,86.379,1,0
0,27,0.6923077,10.64693,2,9.230769,0,107.9486,1,0
0,28,0.8666667,6.369109,2,8,0,92.62863,2,1
0,29,0.8666667,7.696651,2,8,0,93.58672,2,0
0,30,0.9333333,4.519714,2,8,0,100.1353,1,0
0,31,0.9090909,5.71841,2,5.454545,0,94.79782,2,1
0,32,0.9090909,4.310129,1,5.454545,0,99.18449,1,0
0,33,0.9230769,4.067744,1,4.615385,0,92.85766,1,0
0,34,0.9090909,7.393512,1,5.454545,0,101.9886,1,0
0,35,0.9411765,3.914351,1,3.529412,0,99.99583,1,0
0,36,0.5454546,12.42463,3,16.36364,0,90.05978,5,0
0,37,0.9285714,7.627722,1,4.285714,0,90.36266,1,0
0,38,0.125,14.51448,2,7.5,0,110.7234,1,0
0,39,0.2941177,13.63823,2,7.058824,0,110.9213,1,0
0,40,0.9,7.617901,2,12,0,93.4156,1,0
0,41,0.9333333,7.689482,1,4,0,103.941,1,0
0,42,0.8333333,9.715377,3,15,0,91.20447,2,1
0,43,0.9090909,4.281176,1,5.454545,0,94.13898,1,0
0,44,0.5,8.911834,3,15,0,93.36008,6,0
0,45,0.5,12.06548,2,10,0,108.1517,1,0
0,46,0.9166667,5.622849,1,5,0,101.3283,1,0
0,47,0.8333333,6.97136,2,10,0,92.13421,2,0
0,48,0.9565217,4.887689,2,5.217391,0,96.44724,1,0
0,49,0.5,13.94604,2,8.571428,0,114.8887,1,0
0,50,0.7,10.23779,1,6,0,105.5454,3,0
0,51,0.4375,10.79086,2,7.5,0,107.5091,4.5,0
0,52,0.9411765,8.052926,1,3.529412,0,104.7636,1,0
0,53,0.9230769,7.580162,1,4.615385,0,104.4754,1,0
0,54,0.9583333,5.777514,1,2.5,0,103.4371,1,0
0,55,0.8461539,6.197941,2,9.230769,0,94.46265,2,0
0,56,0.9090909,5.531361,3,8.181818,0,95.013,2,0
0,57,0.7857143,9.628906,3,12.85714,0,91.00194,3,0
0,58,0.8333333,9.836192,3,15,0,103.5212,2,1
0,59,0.25,17.16085,2,10,0,115.9734,1,0
0,60,0.8571429,7.714454,2,8.571428,0,92.98459,2,1
0,61,0.9166667,7.709502,2,10,0,103.0428,1,0
0,62,0.8181818,7.175201,2,10.90909,0,93.08828,2,1
0,63,0.9090909,4.69728,2,5.454545,0,93.67651,2,0
0,64,0.25,11.97006,2,10,0,106.6969,4.5,1
0,65,0.9166667,2.663614,1,5,0,94.96027,1,0
0,66,0.5384616,10.3045,1,4.615385,0,108.2848,6,0
0,67,0.7647059,9.111739,2,7.058824,0,105.9402,4,1
0,68,0.8571429,8.214577,1,4.285714,0,105.5011,2,0
0,69,0.3157895,12.16837,2,6.31579,0,109.9468,1,0
0,70,0.9230769,8.242517,1,4.615385,0,90.12879,1,0
0,71,0.9090909,10.03657,1,5.454545,0,87.75179,1,0
0,72,0.9,6.093147,1,6,0,91.15413,1,0
0,73,0.96,8.243791,2,4.8,0,104.2375,1,0
0,74,0.9166667,7.651329,1,5,0,90.71889,1,0
0,75,0.6666667,5.686018,2,8,0,97.95163,5,0
0,76,0.9333333,6.10196,1,4,0,92.6587,1,0
0,77,0.8181818,8.454926,3,16.36364,0,100.3349,2,1
0,78,0.5454546,11.13695,1,5.454545,0,87.38109,1,0
0,79,0.8333333,10.52503,3,15,0,88.72466,2,1
0,80,0.9047619,5.672711,2,5.714286,0,94.11395,2,0
0,81,0.3529412,11.69454,2,7.058824,0,110.2555,1,0
0,82,0.8888889,8.641864,1,6.666667,0,90.37289,1,0
0,83,0.9411765,3.707168,2,7.058824,0,94.65514,1,0
0,84,0.9166667,4.509151,1,5,0,98.86602,1,0
0,85,0.3,9.566065,2,12,0,98.28596,7,0
0,86,0.9166667,6.669694,2,10,0,100.394,1,0
0,87,0.9090909,3.710815,1,5.454545,0,95.00212,1,0
0,88,0.7692308,7.160146,3,13.84615,0,93.76151,3,2
0,89,0.9333333,3.723513,1,4,0,100.9125,1,0
0,90,0.9166667,3.506957,1,5,0,95.99283,1,0
0,91,0.375,10.85927,1,3.75,0,106.1329,10,0
0,92,0.9333333,3.582152,1,4,0,95.88811,1,0
0,93,0.9285714,7.230503,1,4.285714,0,102.9926,1,0
0,94,0.8666667,7.170976,3,12,0,97.56132,2,1
0,95,0.9285714,7.846286,2,8.571428,0,101.6432,1,0
0,96,0.8695652,6.630233,3,7.826087,0,95.82104,1.5,0
0,97,0.9090909,6.82022,1,5.454545,0,101.5053,1,0
0,98,0.8571429,8.156694,1,4.285714,0,91.30465,1,0
0,99,0.8461539,7.307311,2,9.230769,0,91.95605,2,1
0,100,0.8181818,4.957698,2,10.90909,0,97.46107,2,1
0,101,0.9444444,4.949385,1,3.333333,0,93.62511,1,0
0,102,0.8333333,7.008667,3,15,0,100.3422,2,1
0,103,0.9333333,3.980403,1,4,0,100.501,1,0
0,104,0.8666667,3.212923,2,8,0,95.07758,2,1
0,105,0.9166667,6.239425,1,5,0,91.39243,1,0
0,106,0.9285714,3.437005,1,4.285714,0,94.53948,1,0
0,107,0.8636364,6.332131,2,5.454545,0,104.2417,3,0
0,108,0.8461539,10.70347,1,4.615385,0,87.22289,1,0
0,109,0.8461539,4.048208,2,9.230769,0,97.91851,2,1
0,110,0.9444444,2.815013,1,3.333333,0,99.0006,1,0
0,111,0.9285714,2.424291,1,4.285714,0,95.16026,1,0
0,112,0.9565217,3.821418,1,2.608696,0,101.2527,1,0
0,113,0.5,10.05327,1,3,0,107.194,10,0
0,114,0.9,9.73094,1,6,0,87.90188,1,0
0,115,0.9333333,3.641389,1,4,0,94.99477,1,0
0,116,0.8571429,7.163592,2,5.714286,0,103.4533,3,0
0,117,0.5,10.58366,2,5,0,107.6133,6,1
0,118,0.9166667,2.979307,1,5,0,96.32032,1,0
0,119,0.6153846,13.37804,2,9.230769,0,115.174,1,0
0,120,0.9230769,8.991201,1,4.615385,0,90.37479,1,0
0,121,0.6923077,9.497106,1,4.615385,0,88.13653,1,0
0,122,0.9333333,3.081767,2,8,0,95.14616,1,0
0,123,0.9166667,3.904161,3,7.5,0,97.51443,2,0
0,124,0.9166667,6.058849,1,5,0,92.3073,1,0
0,125,0.3333333,15.16135,2,8,0,114.7282,1,0
0,126,0.7692308,7.444899,2,9.230769,0,101.2705,3,0
0,127,0.9285714,7.275884,1,4.285714,0,90.68894,1,0
0,128,0.8571429,9.721549,1,4.285714,0,89.69698,1,0
0,129,0.9333333,6.19651,1,4,0,102.4396,1,0
0,130,0.9230769,4.911489,1,4.615385,0,100.1703,1,0
0,131,0.5714286,11.00296,3,12.85714,0,89.4729,3,0
0,132,0.4166667,9.67657,2,10,0,108.602,1,0
0,133,0.8333333,7.609867,2,10,0,91.34529,2,1
0,134,0.8461539,7.107895,2,9.230769,0,91.82008,2,0
0,135,0.8421053,5.372157,2,6.31579,0,96.22885,3,0
0,136,0.9166667,6.037189,1,5,0,92.17298,1,0
0,137,0.9047619,5.765673,2,5.714286,0,103.0306,2,1
0,138,0.8333333,9.722526,1,5,0,89.25908,1,0
0,139,0.8333333,5.608614,2,10,0,94.96191,2,0
0,140,0.5714286,10.46208,1,4.285714,0,89.2865,1,0
0,141,0.9090909,4.377886,2,10.90909,0,93.98849,1,0
0,142,0.9166667,3.074919,1,5,0,97.92317,1,0
0,143,0.8181818,6.998955,3,16.36364,0,96.97558,2,0
0,144,0.75,5.278868,2,10,0,96.29391,1.5,0
0,145,0.9285714,8.235888,1,4.285714,0,103.9858,1,0
0,146,0.8823529,4.288075,2,7.058824,0,97.84986,2,0
0,147,0.7857143,8.508274,1,4.285714,0,105.9717,3,0
0,148,0.5882353,9.4757,1,3.529412,0,90.66118,1,0
