AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,0,0.8,10.316,3,12,0,90.61853,3,0
0,1,0.9230769,4.366651,1,4.615385,0,99.55924,1,0
0,2,0.9230769,2.655933,1,4.615385,0,96.07954,1,0
0,3,0.9230769,8.264884,1,4.615385,0,90.77477,1,0
0,4,0.9285714,5.925458,2,8.571428,0,96.61377,1,0
0,5,0.9090909,7.442726,1,5.454545,0,90.69821,1,0
0,6,0.9375,6.079247,1,3.75,0,103.3174,1,0
0,7,0.9166667,7.824598,1,5,0,89.52182,1,0
0,8,0.5882353,8.411037,3,10.58823,0,94.9177,7,0
0,9,0.4545455,9.586415,2,10.90909,0,94.19019,3,0
0,10,0.75,6.080257,2,10,0,97.34589,3,0
0,11,0.8125,9.286325,3,11.25,0,98.56532,3,0
0,12,0.7272727,7.838087,2,10.90909,0,92.77225,3,0
0,13,0.6,8.934656,3,12,0,93.39542,6,0
0,14,0.9090909,4.819641,1,5.454545,0,99.2701,1,0
0,15,0.9047619,8.690056,1,2.857143,0,89.55743,1,0
0,16,0.9090909,5.538723,1,5.454545,0,101.4763,1,0
0,17,0.9,6.435338,1,6,0,92.23336,1,0
0,18,0.7,7.055987,2,12,0,94.50347,3,0
0,19,0.9375,4.331944,1,3.75,0,93.55108,1,0
0,20,0.9444444,5.209535,1,3.333333,0,99.71666,1,0
0,21,0.7857143,7.903326,3,12.85714,0,96.70074,3,0
0,22,0.3846154,9.683372,2,9.230769,0,92.40884,8,0
0,23,0.8888889,6.785788,2,6.666667,0,93.98403,1,0
0,24,0.7333333,7.625868,2,8,0,92.113,4,0
0,25,0.7857143,8.742155,3,12.85714,0,93.86771,3,0
0,26,0.9473684,2.458725,1,3.157895,0,97.30444,1,0
0,27,0,13.984,2,10.90909,0,107.2991,0,1
0,28,0.9333333,2.159327,1,4,0,94.72814,1,0
0,29,0.9333333,8.762431,1,4,0,88.83231,1,0
0,30,0.7857143,8.343976,2,8.571428,0,92.3246,3,0
0,31,0.9230769,5.350416,2,9.230769,0,98.74673,1,0
0,32,0.9583333,4.722847,2,5,0,101.0504,1,0
0,33,0.6923077,7.41564,3,13.84615,0,93.94779,4,0
0,34,0.9333333,6.824625,2,8,0,98.48862,1,0
0,35,0.6,6.338417,2,12,0,94.07708,4,0
0,36,0.9090909,4.147709,1,5.454545,0,94.96683,1,0
0,37,0.6363636,6.006948,2,10.90909,0,96.48819,4,0
0,38,0.9333333,2.428764,1,4,0,98.36491,1,0
0,39,0.9166667,2.233783,1,5,0,96.38306,1,0
0,40,0.9333333,2.965231,1,4,0,98.39045,1,0
0,41,0.9230769,5.418666,1,4.615385,0,101.5081,1,0
0,42,0.7692308,5.534991,2,9.230769,0,93.4223,3,0
0,43,0.75,9.340089,1,5,0,105.7848,3,0
0,44,0.8181818,6.203619,2,10.90909,0,93.77645,2,1
0,45,0.6470588,9.241611,1,3.529412,0,106.8501,6,0
0,46,0.9230769,6.343063,1,4.615385,0,90.18865,1,0
0,47,0.9230769,6.361265,2,9.230769,0,96.44257,1,0
0,48,0.9285714,8.183969,1,4.285714,0,89.32348,1,0
0,49,0.4615385,11.39914,3,13.84615,0,89.80436,7,1
0,50,0.9090909,6.642284,2,10.90909,0,93.40541,1,0
0,51,0.9166667,3.76491,1,5,0,93.78465,1,0
0,52,0.9230769,7.645564,1,4.615385,0,90.07818,1,0
0,53,0.9375,4.620023,1,3.75,0,94.05685,1,0
0,54,0.9090909,8.371587,2,10.90909,0,99.47466,1,0
0,55,0.9333333,2.780316,1,4,0,94.97582,1,0
0,56,0.7272727,6.9125,3,16.36364,0,94.74625,3,0
0,57,0.9090909,6.662743,2,10.90909,0,96.78468,1,0
0,58,0.9166667,6.627512,1,5,0,92.45544,1,0
0,59,0.9,7.779144,1,3,0,105.3517,2,0
0,60,0.9230769,3.199158,1,4.615385,0,94.08198,1,0
0,61,0.4615385,12.00412,2,9.230769,0,107.5193,3.5,0
0,62,0.9375,3.767448,1,3.75,0,95.34136,1,0
0,63,0.1764706,12.34832,2,7.058824,0,106.2819,13,0
0,64,0.6666667,8.010523,3,12,0,99.52199,5,0
0,65,0.7647059,6.712842,3,10.58823,0,95.63773,2,0
0,66,0.9375,5.450152,1,3.75,0,102.4863,1,0
0,67,0.75,8.784723,2,10,0,91.98331,3,0
0,68,0.2352941,11.86745,2,7.058824,0,106.245,6.5,0
0,69,0.9545454,3.273606,1,2.727273,0,99.21908,1,0
0,70,0.9230769,6.747026,2,9.230769,0,92.18109,1,0
0,71,0.8333333,7.369046,2,6.666667,0,93.30327,3,0
0,72,0.9230769,7.652751,1,4.615385,0,104.3839,1,0
0,73,0.9333333,5.870059,1,4,0,101.6819,1,0
0,74,0.8,6.629973,3,18,0,97.31477,2,2
