AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,0,1,2.589679,1,5.454545,0,93.99156,0,0
0,1,0.8,7.359167,2,8,0,93.70357,3,0
0,2,1,4.155195,2,6,0,92.97738,0,0
0,3,0.7407407,8.43014,4,8.888889,0,92.39449,3.5,0
0,4,0.96,2.036573,2,4.8,0,96.58051,1,0
0,5,0.9230769,2.662743,2,9.230769,0,98.39164,1,0
0,6,0.9285714,1.886806,2,8.571428,0,97.33079,1,0
0,7,1,7.405556,2,9.230769,0,101.4767,0,0
0,8,1,2.455076,1,4.285714,0,93.41049,0,0
0,9,0.6363636,7.822578,4,21.81818,0,92.24573,4,0
0,10,0.9545454,5.017905,3,8.181818,0,92.76076,1,0
0,11,0.8461539,5.604805,3,13.84615,0,96.09563,1,0
0,12,0.8461539,9.698777,3,13.84615,0,88.82814,2,0
0,13,1,2.235908,1,3.529412,0,99.70362,0,0
0,14,1,7.592703,1,5.454545,0,88.51627,0,0
0,15,1,5.569122,2,8,0,92.79635,0,0
0,16,0.7142857,9.458301,2,8.571428,0,106.0599,4,0
0,17,0.9,8.834432,2,12,0,104.5307,1,0
0,18,1,1.017255,1,3.75,0,95.86099,0,0
0,19,0.9565217,7.245031,3,7.826087,0,94.00586,1,0
0,20,0.9230769,2.271517,3,13.84615,0,96.76502,1,0
0,21,0.7857143,10.63198,2,8.571428,0,105.7535,1.5,0
0,22,0.8125,8.063478,3,11.25,0,93.56579,1.5,0
0,23,1,1.454374,1,5.454545,0,98.33336,0,0
0,24,0.8461539,8.017325,3,13.84615,0,91.65137,1,0
0,25,0.9090909,3.835517,2,10.90909,0,93.3391,1,0
0,26,0.9090909,7.185227,2,10.90909,0,90.59952,1,0
0,27,0.9333333,2.166695,2,8,0,97.62362,1,0
0,28,1,4.384745,2,5.217391,0,96.43566,0,0
0,29,1,5.625537,2,8,0,97.4713,0,0
0,30,0.9411765,5.633819,2,7.058824,0,91.5181,1,0
0,31,1,3.089049,2,10.90909,0,99.2084,0,0
0,32,0.75,8.089254,2,10,0,94.21822,3,0
0,33,1,2.684727,1,4.285714,0,96.52936,0,0
0,34,1,1.577732,1,3.529412,0,98.07164,0,0
0,35,1,2.71973,1,2.5,0,93.75084,0,0
