AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,0,0.6153846,14.69815,3,13.84615,0,101.1257,5,0
0,1,0.9090909,5.497562,3,16.36364,0,100.3428,1,0
0,2,0.1333333,23.16526,5,20,1,145.1887,2,0
0,3,0.35,13.26642,4,12,0,124.604,2,0
0,4,0.7857143,9.714766,3,12.85714,0,90.95777,3,0
0,5,0.07692308,19.04488,5,23.07692,0,85.78064,12,0
0,6,0.8666667,5.686038,4,16,0,101.8491,2,0
0,7,0.9166667,6.478476,3,15,0,103.7884,1,0
0,8,0.6666667,10.93162,5,25,0,98.2846,4,0
0,9,0.2,19.64758,3,18,0,122.5856,1,0
0,10,0.6363636,7.648155,5,27.27273,0,108.9777,3,0
0,11,0.8571429,5.601415,4,17.14286,0,104.6814,2,0
0,12,0.8333333,7.230917,4,10,0,112.2501,2,0
0,13,0.8235294,7.991199,4,14.11765,0,112.8812,2,0
0,14,0.5789474,9.417739,4,12.63158,0,116.5051,3.5,0
0,15,0.1428571,13.73738,4,17.14286,0,122.2271,5,0
0,16,0.6086956,10.52305,4,10.43478,0,115.5053,7,0
0,17,0.375,16.55128,4,15,0,134.8035,2,0
0,18,0.6428571,7.801642,4,17.14286,0,109.8125,4,0
0,19,0.3333333,13.5349,4,16,0,124.4766,2,0
0,20,0.09090909,27.88041,4,21.81818,1,144.9023,2,0
0,21,0,21.84624,3,12,0,132.9228,0,0
0,22,0,16.92618,3,11.25,0,84.67587,0,0
0,23,0.08333334,28.14927,5,25,1,149.8398,2,0
0,24,0.3846154,15.49571,4,18.46154,0,128.1224,2,0
0,25,0.8571429,8.034159,3,12.85714,0,103.3353,2,0
0,26,0.6521739,11.1523,4,10.43478,0,119.5562,3,0
0,27,0.5555556,11.67708,4,13.33333,0,99.92952,4,0
0,28,0.3913043,11.71834,4,10.43478,0,123.3264,2,0
0,29,0.8461539,10.25477,3,13.84615,0,100.764,2,0
0,30,0.3333333,16.42221,4,20,0,114.1261,2,0
0,31,0.1875,25.1746,5,18.75,1,147.7784,2,0
0,32,0.7777778,9.299638,4,13.33333,0,112.762,1.5,0
0,33,0.25,25.36902,4,10,2,146.3864,2,0
0,34,0.6666667,12.37481,3,15,0,105.376,2,0
0,35,0.375,11.07565,5,18.75,0,119.5015,2,0
0,36,0.625,9.695254,4,15,0,108.6642,5,0
0,37,0.25,12.64501,4,20,0,120.9375,1,0
0,38,0.1111111,24.67918,4,13.33333,1,145.9449,4,0
0,39,0.1333333,19.99425,4,16,0,136.5382,2,0
0,40,0.1428571,21.92236,3,12.85714,0,126.0782,2,0
0,41,0.3809524,18.26537,5,14.28571,0,135.0726,2,0
0,42,0.8421053,7.006878,4,12.63158,0,110.4804,2,0
0,43,0.5714286,10.64032,4,17.14286,0,110.7954,5,0
0,44,0.8333333,7.671904,4,13.33333,0,109.9347,2,0
0,45,0.2142857,19.67132,4,17.14286,0,138.1176,2,0
0,46,0.2857143,16.09576,4,17.14286,0,135.3675,1,0
0,47,0.3333333,15.38459,4,16,0,127.1072,2,0
0,48,0.1538462,14.09419,4,18.46154,0,91.05744,5.5,0
0,49,0.3846154,14.29588,4,18.46154,0,128.4341,1,0
0,50,0,33.02884,4,20,1,158.276,0,0
0,51,0.8125,9.497482,4,15,0,116.0374,2,0
0,52,0.5454546,12.03819,4,21.81818,0,113.9687,4,0
0,53,0.25,21.25387,4,20,1,140.3904,1,0
0,54,0.3076923,17.48906,3,13.84615,0,117.7212,2,0
0,55,0.4615385,10.55461,4,18.46154,0,107.7191,2,0
0,56,0.2142857,17.59416,5,21.42857,0,132.7372,1,0
0,57,0.5833333,11.09602,5,25,0,107.8972,4,0
0,58,0.2,16.08702,4,16,0,129.0114,2,0
0,59,0.07142857,16.83568,4,17.14286,0,91.44054,13,0
0,60,0.09090909,15.83684,4,10.90909,0,89.29733,20,0
0,61,0.1111111,17.95307,4,13.33333,0,87.07146,16,0
0,62,0.3529412,15.64201,4,14.11765,0,129.766,2,0
0,63,0.1875,24.21775,4,15,1,147.7836,2,0
0,64,0.8518519,6.575853,4,8.888889,0,108.6589,2,0
0,65,0.9047619,5.272587,4,11.42857,0,103.1387,2,0
0,66,0.5789474,10.16082,4,12.63158,0,118.3512,3.5,0
0,67,0.5,11.46891,3,18,0,111.9707,1,0
0,68,0.5833333,11.43082,5,25,0,114.6176,4,0
0,69,0.8333333,5.091078,4,13.33333,0,105.1677,2,0
0,70,0.3333333,20.35414,4,20,0,139.9809,1,0
0,71,0.3333333,12.72241,4,20,0,122.4949,1,0
0,72,0.2,18.34169,4,16,0,132.0366,2,0
0,73,0.7142857,9.735537,4,17.14286,0,117.5188,1.5,0
0,74,0.6923077,10.37647,4,18.46154,0,106.356,3,0
0,75,0.6153846,8.668867,4,18.46154,0,108.0005,4,0
0,76,0.2608696,23.3865,4,10.43478,1,145.6351,2,0
0,77,0.1,29.04707,4,24,1,150.4482,2,0
0,78,0.3333333,15.46993,4,13.33333,0,129.5061,2,0
0,79,0.7272727,9.638456,3,16.36364,0,92.18289,3,0
0,80,0.625,11.91989,5,18.75,0,117.6608,5,0
0,81,0.7142857,9.049869,4,17.14286,0,100.8257,4,0
0,82,0.8571429,6.408103,3,12.85714,0,102.0736,2,0
0,83,0.1176471,15.26717,5,17.64706,0,90.85293,15,0
