AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
13,0,0.2857143,20.71784,28,48,3,154.3726,4,2
12,0,0.2162162,23.77443,28,45.40541,4,151.4113,4,2
17,0,0.025,33.88394,31,46.5,4,157.0013,23,1
12,1,0.3055556,19.31467,29,48.33333,2,156.4906,3.333333,0
15,0,0.4714286,16.86355,109,46.71429,3,162.157,7.625,1
14,0,0.3615023,14.98922,172,48.4507,4,154.3666,10.33333,3
15,1,0.1647059,21.83526,68,48,3,151.2327,12.6,0
9,0,0.306383,17.1079,175,44.68085,3,150.4945,8.210526,0
15,2,0.1875,25.43531,12,45,2,154.3226,9,0
0,0,0.3740458,14.84134,211,48.32061,8,153.6273,10.73333,4
1,0,0.3866667,15.11637,227,45.4,0,133.5804,9.2,3
2,0,0.3433333,13.48924,234,46.8,0,129.6256,9.85,2
3,0,0.2233333,11.30897,238,47.6,0,125.4336,11.88889,0
4,0,0.27,16.29198,241,48.2,0,95.9269,31.28572,2
5,0,0.1666667,20.45279,236,47.2,0,97.7866,14.33333,4
6,0,0.5766667,8.349038,245,49,0,103.5433,8.214286,2
7,0,0.37,10.46754,237,47.4,0,121.3287,10.375,1
8,0,0.2933333,14.61075,252,50.4,1,140.4946,6.5,7
10,0,0.59,8.898657,248,49.6,0,114.6093,11.18182,4
11,0,0.33,15.95714,233,46.6,0,121.9014,12.5,3
16,0,0.5066667,13.25416,237,47.4,0,139.5618,5.692307,3
18,0,0.27,13.8461,245,49,0,137.8214,13.06667,2
19,0,0.5933333,7.819292,240,48,0,110.86,7.625,3
13,1,0.5182724,8.035558,227,45.24917,0,120.2623,8.875,1
17,1,0.3189369,14.28122,234,46.64452,0,135.6126,18.63636,3
15,3,0.5153846,12.21505,106,48.92308,2,155.4774,6.333333,2
12,2,0.2833333,12.1343,240,48,0,107.9334,12.4375,0
11,1,0.1222222,27.60348,67,44.66667,5,151.9374,25,1
11,2,0.2159091,17.28892,71,48.40909,2,153.8116,15.5,1
14,1,0.3833333,11.209,237,47.4,0,136.8036,7.863636,4
10,1,0.1255411,20.83126,195,50.64935,10,153.2774,21.125,0
9,1,0.37,16.40867,236,47.2,3,142.1326,8.384615,4
7,1,0.6040816,11.01958,200,48.97959,3,154.1618,6.2,2
0,1,0.1666667,18.99131,236,47.2,0,123.5696,27.33333,4
1,1,0.3866667,16.00698,232,46.4,1,140.8337,9.631579,2
2,1,0.6166667,10.07148,228,45.6,0,130.8632,5.842105,1
3,1,0.1266667,18.98632,240,48,0,119.4065,19.53846,1
