AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,0,0.98,4.403796,8,1.6,0,101.1912,3,1
1,0,0.6,8.807343,7,1.4,0,114.0498,20,0
2,0,0.5733333,8.489684,4,0.8,0,119.8591,21.33333,0
3,0,0.7133333,7.082919,4,0.8,0,109.3382,17.2,0
4,0,0.9766667,4.852639,6,1.2,0,99.70912,1.4,0
5,0,0.8233333,6.875231,8,1.6,0,105.2777,13.25,0
6,0,0.5333334,7.038322,4,0.8,0,103.4871,36.66667,0
7,0,0.9666666,4.795065,7,1.4,0,101.5888,5,0
8,0,0.8366666,7.362164,5,1,0,105.1116,10.66667,0
9,0,0.9533333,6.604332,5,1,0,110.6498,4.666667,0
10,0,0.9266667,5.382428,11,2.2,0,93.38757,11,0
11,0,0.6033334,9.779104,7,1.4,0,116.7645,19.83333,0
12,0,0.9966667,4.1056,6,1.2,0,90.97747,1,0
13,0,0.79,7.049718,3,0.6,0,105.5834,15.75,0
14,0,0.6666667,9.223255,5,1,0,115.4398,25,0
15,0,0.8133333,6.848371,3,0.6,0,124.95,16.33333,0
16,0,0.9333333,6.066272,6,1.2,0,116.9605,5,0
17,0,0.8733333,5.93008,6,1.2,0,116.7343,7.6,0
18,0,0.62,6.98279,5,1,0,115.4599,19.8,0
19,0,0.5933333,7.164197,5,1,0,120.8149,29.66667,0
0,1,0.98,7.696686,10,2,0,92.408,2,0
1,1,0.7266667,5.744407,7,1.4,0,106.917,13.66667,0
2,1,0.5833333,9.170597,4,0.8,0,118.4643,25,0
3,1,0.6033334,9.612277,3,0.6,0,114.9413,39.66667,0
4,1,0.9266667,4.370248,5,1,0,113.8412,5.5,1
5,1,0.76,5.913712,6,1.2,0,104.4238,9,0
6,1,0.85,4.767713,5,1,0,105.4024,11.25,1
7,1,0.7,8.397486,9,1.8,0,116.0692,18,1
8,1,0.93,5.419649,7,1.4,0,101.0922,7,0
9,1,0.8966666,4.340751,7,1.4,0,98.35484,5.166667,0
10,1,0.8433333,6.588021,5,1,0,107.3047,9.4,0
11,1,0.4833333,7.365806,4,0.8,0,103.2384,22.14286,0
12,1,0.8,4.671222,8,1.6,0,103.0412,8.142858,0
13,1,0.5733333,6.245131,5,1,0,119.0259,21.33333,1
14,1,0.7833334,5.315312,10,2,0,105.5489,8.285714,1
15,1,0.9,6.838294,6,1.2,0,112.1243,6,0
16,1,0.8366666,4.761235,12,2.4,0,111.2441,7,0
17,1,0.42,8.81673,4,0.8,0,109.1135,42.5,0
18,1,0.7733333,7.781304,4,0.8,0,102.3117,13.6,0
19,1,0.94,5.487923,6,1.2,0,102.6626,9,0
0,2,0.7466667,5.102558,8,1.6,0,104.6296,15.2,1
1,2,0.64,8.298215,4,0.8,0,104.3027,27,0
2,2,0.4133333,7.670375,4,0.8,0,109.5885,44,0
3,2,0.7133333,6.413942,5,1,0,105.4442,17.2,0
4,2,0.82,7.324009,5,1,0,118.6274,13.5,0
5,2,0.89,4.479475,8,1.6,0,95.01996,8.25,0
6,2,0.6266667,5.767375,7,1.4,0,104.4097,13.14286,0
7,2,0.6,8.863406,9,1.8,0,109.9661,24,1
8,2,0.9766667,5.252637,7,1.4,0,108.4065,3.5,0
9,2,0.8766667,3.861123,10,2,0,108.1887,4.428571,2
10,2,0.7666667,6.185898,3,0.6,0,106.0454,22.66667,0
11,2,0.92,5.018664,6,1.2,0,112.218,4.8,0
12,2,0.9733334,5.185098,9,1.8,0,103.0969,4,0
