AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
15,0,0.9230769,6.582888,1,4.615385,0,91.56051,1,0
1,0,0.9230769,5.14938,1,4.615385,0,92.93542,1,0
2,0,0.9285714,6.614258,1,4.285714,0,101.7429,1,0
9,0,0.9285714,4.137689,2,8.571428,0,96.53455,1,0
7,0,0.9285714,8.782812,1,4.285714,0,90.28899,1,0
10,0,0.8666667,7.571424,2,8,0,91.81358,2,1
17,0,0.9375,5.755396,1,3.75,0,101.2619,1,0
19,0,0.9375,3.048506,2,7.5,0,95.71265,1,0
0,0,0.8235294,10.02076,1,3.529412,0,88.07842,1,0
14,0,0.8823529,3.788943,3,10.58823,0,97.03264,2,0
3,0,0.2222222,12.60061,2,6.666667,0,108.3501,1,0
4,0,0.9473684,2.313096,1,3.157895,0,98.43547,1,0
12,0,0.7368421,9.294145,2,6.31579,0,106.3718,2.5,0
8,0,0.952381,6.988395,2,5.714286,0,102.8252,1,1
11,0,0.8571429,3.371542,2,5.714286,0,97.42764,3,0
18,0,0.952381,6.132167,2,5.714286,0,100.7145,1,0
5,0,0.952381,5.122452,2,5.714286,0,95.54025,1,0
16,0,0.9545454,3.003384,1,2.727273,0,99.72322,1,0
3,1,0.9166667,7.294457,1,5,0,102.8725,1,0
15,1,0.6111111,9.727205,2,6.666667,0,105.3141,7,0
6,0,0.6,9.323064,1,2,0,92.95625,1,0
13,0,0.9,5.591518,1,2,0,95.83531,1,0
4,1,0.07692308,16.13841,2,9.230769,0,111.2705,1,0
2,1,0.8421053,7.697156,2,6.31579,0,101.4586,1.5,0
10,1,0.8823529,6.667647,2,7.058824,0,92.987,2,1
0,1,0.9375,7.901038,2,7.5,0,101.3767,1,0
17,1,0.9411765,5.524046,1,3.529412,0,93.65128,1,0
7,1,0.5238096,10.05788,2,5.714286,0,108.0015,5,0
14,1,0.9444444,2.330651,1,3.333333,0,98.17446,1,0
8,1,0.9333333,3.393899,1,4,0,99.33543,1,0
18,1,0.875,9.082277,2,7.5,0,104.5923,2,0
19,1,0.9047619,7.7345,3,8.571428,0,103.7887,2,0
